Borough,Income
Aubing-Lochhausen-Langwied,1561
Feldmoching-Hasenbergl,1388
Milbertshofen-Am Hart,1429
Berg am Laim,1577
Ramersdorf-Perlach,1500
Trudering-Riem,1667
Obergiesing-Fasangarten,1600
Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,1667
Schwanthalerhöhe,1400
Hadern,1615
Neuhausen-Nymphenburg,1600
Moosach,1600
Allach-Untermenzing,1667
Untergiesing-Harlaching,1700
Sendling-Westpark,1650
Laim,1700
Schwabing-West,1700
Maxvorstadt,1700
Schwabing-Freimann,1699
Au-Haidhausen,1700
Bogenhausen,1800
Altstadt-Lehel,2000
Ludwigsvorstadt-Isarvorstadt,1800
Pasing-Obermenzing,1777
